state,name,MME,transaction_year,fips
GA,stephens,28955700.3189,2015-01-01,13257
GA,worth,6005747.82,2015-01-01,13321
GA,atkinson,3436522.3125,2015-01-01,13003
GA,rabun,12714332.4951,2015-01-01,13241
GA,lee,5219759.6175,2015-01-01,13177
GA,wilcox,3293209.4625,2015-01-01,13315
GA,crisp,14663988.1575,2015-01-01,13081
GA,grady,6329110.53,2015-01-01,13131
GA,upson,14390063.5914,2015-01-01,13293
GA,laurens,26863645.2075,2015-01-01,13175
GA,dade,4263023.625,2015-01-01,13083
GA,early,2741250.6075,2015-01-01,13099
GA,pickens,17762144.055,2015-01-01,13227
GA,benhill,10680948.8364,2015-01-01,13017
GA,elbert,16500692.2656,2015-01-01,13105
GA,barrow,32930697.3,2015-01-01,13013
GA,clayton,47303720.1081,2015-01-01,13063
GA,bartow,56279781.0189,2015-01-01,13015
GA,fannin,18293939.4288,2015-01-01,13111
GA,baldwin,20551773.1575,2015-01-01,13009
GA,dawson,11125588.6425,2015-01-01,13085
GA,emanuel,10929365.46,2015-01-01,13107
GA,troup,24065757.6525,2015-01-01,13285
GA,hart,11368406.5881,2015-01-01,13147
GA,putnam,5924982.0225,2015-01-01,13237
GA,liberty,14380116.615,2015-01-01,13179
GA,pierce,11483176.755,2015-01-01,13229
GA,coffee,28831975.2864,2015-01-01,13069
GA,catoosa,34567395.21,2015-01-01,13047
GA,morgan,7692810.795,2015-01-01,13211
GA,peach,8871617.25,2015-01-01,13225
GA,lanier,2665910.145,2015-01-01,13173
GA,bacon,9596346.1239,2015-01-01,13005
GA,bleckley,11152045.86,2015-01-01,13023
GA,terrell,2565211.8075,2015-01-01,13273
GA,towns,4913952.3825,2015-01-01,13281
GA,pulaski,9369776.0625,2015-01-01,13235
GA,oglethorpe,4556823.855,2015-01-01,13221
GA,crawford,2140807.35,2015-01-01,13079
GA,treutlen,2909201.25,2015-01-01,13283
GA,oconee,9765640.13625,2015-01-01,13219
GA,brooks,6731266.9575000005,2015-01-01,13027
GA,lincoln,3524722.6875,2015-01-01,13181
GA,franklin,21650204.2803,2015-01-01,13119
GA,brantley,5265522.525,2015-01-01,13025
GA,calhoun,784774.8966,2015-01-01,13037
GA,pike,2030194.035,2015-01-01,13231
GA,bryan,21169729.56,2015-01-01,13029
GA,irwin,2101355.925,2015-01-01,13155
GA,banks,7488295.515,2015-01-01,13011
GA,mcintosh,6138337.125,2015-01-01,13191
GA,lamar,6026814.36,2015-01-01,13171
GA,jasper,4146368.865,2015-01-01,13159
GA,hancock,1443631.35,2015-01-01,13141
GA,tattnall,12254699.67,2015-01-01,13267
GA,montgomery,1266602.175,2015-01-01,13209
GA,butts,14647128.9375,2015-01-01,13035
GA,dooly,1504662.7875,2015-01-01,13093
GA,clinch,4212307.065,2015-01-01,13065
GA,long,1432862.5875,2015-01-01,13183
GA,jefferson,6545830.29,2015-01-01,13163
GA,harris,1636674.1875,2015-01-01,13145
GA,stewart,868396.335,2015-01-01,13259
GA,warren,1034822.8125,2015-01-01,13301
GA,schley,721080.7125,2015-01-01,13249
GA,cook,5962008.36,2015-01-01,13075
GA,berrien,6815978.6850000005,2015-01-01,13019
GA,charlton,4722473.205,2015-01-01,13049
GA,wilkes,5561719.6875,2015-01-01,13317
GA,miller,1787497.2375,2015-01-01,13201
GA,marion,378225.7875,2015-01-01,13197
